ANO,UF,Código IBGE ,Município,Nº do Decreto,Data do Decreto,Desastre,SE/ECP,Nº da Portaria,Data da Portaria
2009,AL,2700102,ÁGUA BRANCA,-,-,SECA,SE,399,-
2009,AL,2700102,ÁGUA BRANCA,910,15/05/09,ENXURRADAS,SE,906,02/10/09
2009,AL,2700607,BARRA DE SÃO MIGUEL,20,13/05/09,ENXURRADAS,SE,907,02/10/09
2009,AL,2700706,BATALHA,-,-,SECA,SE,529,-
2009,AL,2700904,BELO MONTE,-,-,SECA,SE,001,-
2009,AL,2700904,BELO MONTE,-,-,SECA,SE,400,-
2009,AL,2701209,CACIMBINHAS,-,-,SECA,SE,002,-
2009,AL,2701209,CACIMBINHAS,-,-,SECA,SE,401,-
2009,AL,2701605,CANAPI,-,-,SECA,SE,003,-
2009,AL,2701605,CANAPI,-,-,SECA,SE,402,-
2009,AL,2701803,CARNEIROS,-,-,SECA,SE,004,-
2009,AL,2701803,CARNEIROS,-,-,SECA,SE,380,-
2009,AL,2702207,COQUEIRO SECO,4,04/05/09,ENXURRADAS,SE,908,02/10/09
2009,AL,2702355,CRAÍBAS,-,-,SECA,SE,005,-
2009,AL,2702355,CRAÍBAS,-,-,SECA,SE,381,-
2009,AL,2702405,DELMIRO GOUVEIA,-,-,SECA,SE,650,-
2009,AL,2702504,DOIS RIACHOS,-,-,SECA,SE,006,-
2009,AL,2702504,DOIS RIACHOS,-,-,SECA,SE,403,-
2009,AL,2702553,ESTRELA DE ALAGOAS,-,-,SECA,SE,404,-
2009,AL,2702900,GIRAU DO PONCIANO,-,-,SECA,SE,007,-
2009,AL,2702900,GIRAU DO PONCIANO,-,-,SECA,SE,405,-
2009,AL,2703304,INHAPI,-,-,SECA,SE,008,-
2009,AL,2703304,INHAPI,-,-,SECA,SE,382,-
2009,AL,2703403,JACARÉ DOS HOMENS,-,-,SECA,SE,009,-
2009,AL,2703403,JACARÉ DOS HOMENS,-,-,SECA,SE,383,-
2009,AL,2703700,JARAMATAIA,-,-,SECA,SE,384,-
2009,AL,2703759,JEQUIÁ DA PRAIA,8,28/05/09,ENXURRADAS,SE,909,02/10/09
2009,AL,2704401,MAJOR ISIDORO,-,-,SECA,SE,406,-
2009,AL,2704609,MARAVILHA,-,-,SECA,SE,407,-
2009,AL,2704708,MARECHAL DEODORO,11,01/06/09,ENXURRADAS,SE,910,02/10/09
2009,AL,2705002,MATA GRANDE,-,-,SECA,SE,408,-
2009,AL,2705002,MATA GRANDE,4,29/05/09,ENXURRADAS,SE,930,16/10/09
2009,AL,2705309,MINADOR DO NEGRÃO,-,-,SECA,SE,010,-
2009,AL,2705309,MINADOR DO NEGRÃO,-,-,SECA,SE,409,-
2009,AL,2705408,MONTEIRÓPOLIS,-,-,SECA,SE,530,-
2009,AL,2705408,MONTEIRÓPOLIS,-,-,SECA,SE,572,-
2009,AL,2705705,OLHO D'ÁGUA DAS FLORES,-,-,SECA,SE,385,-
2009,AL,2705804,OLHO D'ÁGUA DO CASADO,-,-,SECA,SE,386,-
2009,AL,2706000,OLIVENÇA,-,-,SECA,SE,111,-
2009,AL,2706000,OLIVENÇA,-,-,SECA,SE,410,-
2009,AL,2706109,OURO BRANCO,-,-,SECA,SE,011,-
2009,AL,2706109,OURO BRANCO,-,-,SECA,SE,387,-
2009,AL,2706208,PALESTINA,-,-,SECA,SE,012,-
2009,AL,2706208,PALESTINA,-,-,SECA,SE,411,-
2009,AL,2706307,PALMEIRA DOS ÍNDIOS,-,-,SECA,SE,111,-
2009,AL,2706307,PALMEIRA DOS ÍNDIOS,-,-,SECA,SE,388,-
2009,AL,2706406,PÃO DE AÇÚCAR,-,-,SECA,SE,426,-
2009,AL,2706422,PARICONHA,-,-,SECA,SE,412,-
2009,AL,2706422,PARICONHA,5,15/05/09,ENXURRADAS,SE,1121,23/12/09
2009,AL,2706448,PARIPUEIRA,241,17/05/09,ENXURRADAS,SE,911,02/10/09
2009,AL,2707107,PIRANHAS,-,-,SECA,SE,389,-
2009,AL,2707206,POÇO DAS TRINCHEIRAS,-,-,SECA,SE,013,-
2009,AL,2707206,POÇO DAS TRINCHEIRAS,-,-,SECA,SE,413,-
2009,AL,2707602,QUEBRANGULO,58,01/06/09,ENXURRADAS,SE,912,02/10/09
2009,AL,2707701,RIO LARGO,17,28/05/09,ENXURRADAS,SE,888,25/09/09
2009,AL,2707800,ROTEIRO,3,20/05/09,ENXURRADAS,SE,913,02/10/09
2009,AL,2708006,SANTANA DO IPANEMA,-,-,SECA,SE,414,-
2009,AL,2708006,SANTANA DO IPANEMA,6,15/05/09,ENXURRADAS,SE,914,02/10/09
2009,AL,2708303,SÃO JOSÉ DA LAJE,-,-,ENXURRADAS,SE,705,-
